area,standard,question_type,question,reason,round
MS-PS2,MS-PS2-4,recall,Is the gravitational force between two objects attractive or repulsive?,fk_grade=11.9_out_of_band,1
MS-PS2,MS-PS2-4,recall,Who first described the law of universal gravitation?,fk_grade=9.7_out_of_band,1
MS-PS2,MS-PS2-4,recall,What happens to the gravitational force between two objects if one of their masses is increased?,fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-4,recall,What keeps the Moon in orbit around Earth?,fk_grade=2.3_out_of_band,1
MS-PS2,MS-PS2-4,recall,What is the difference between mass and weight?,fk_grade=3.8_out_of_band,1
MS-PS2,MS-PS2-4,recall,"If two objects are far apart, how does the gravitational force between them compare to when they are close together?",fk_grade=9.9_out_of_band,1
MS-PS2,MS-PS2-4,recall,Does every object in the universe exert a gravitational pull on every other object?,fk_grade=13.5_out_of_band,1
MS-PS2,MS-PS2-5,recall,What is a force field?,fk_grade=-1.8_out_of_band,1
MS-PS2,MS-PS2-5,recall,What is a magnetic field?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-5,recall,What does it mean for two objects to interact through a field?,fk_grade=3.8_out_of_band,1
MS-PS2,MS-PS2-5,recall,What is an electric field?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-5,recall,What are the two poles of a magnet called?,fk_grade=1.0_out_of_band,1
MS-PS2,MS-PS2-5,recall,What is a non-contact force?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-5,recall,What tool can you use to map the shape of a magnetic field?,fk_grade=3.1_out_of_band,1
MS-PS2,MS-PS2-1,conceptual,Why does a skateboarder roll backward when they push off a wall?,fk_grade=3.8_out_of_band,1
MS-PS2,MS-PS2-1,conceptual,Why do you feel a 'kick' or recoil when you throw a heavy ball?,fk_grade=3.4_out_of_band,1
MS-PS2,MS-PS2-1,conceptual,"Why does a heavier bumper car barely move when it collides with a much lighter bumper car, even though the forces between them are equal?",fk_grade=11.2_out_of_band,1
MS-PS2,MS-PS2-1,conceptual,How does knowing that action and reaction forces are always equal help engineers design safer car bumpers?,fk_grade=11.2_out_of_band,1
MS-PS2,MS-PS2-1,conceptual,Why don't the equal and opposite forces in Newton's Third Law cancel each other out and result in nothing moving?,fk_grade=9.9_out_of_band,1
MS-PS2,MS-PS2-2,conceptual,Why does a soccer ball slow down and stop after it is kicked across a field?,fk_grade=4.7_out_of_band,1
MS-PS2,MS-PS2-2,conceptual,How does doubling the net force on an object change how fast it speeds up?,fk_grade=4.4_out_of_band,1
MS-PS2,MS-PS2-3,conceptual,Why do two positively charged balloons push away from each other instead of pulling together?,fk_grade=9.9_out_of_band,1
MS-PS2,MS-PS2-3,conceptual,Why does adding more wire coils around an iron nail make a stronger electromagnet?,fk_grade=9.3_out_of_band,1
MS-PS2,MS-PS2-3,conceptual,Why does increasing the electric current through an electromagnet make it stronger?,fk_grade=10.7_out_of_band,1
MS-PS2,MS-PS2-3,conceptual,Why do two objects with larger electric charges push or pull on each other more strongly than two objects with smaller charges?,fk_grade=10.2_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,Why does gravity always pull objects toward each other instead of pushing them apart?,fk_grade=9.3_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,Why do you weigh less on the Moon than on Earth even though you are the same person?,fk_grade=4.5_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,How does the mass of the Sun keep the planets orbiting around it?,fk_grade=4.9_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,Why does gravity pull a falling apple toward Earth rather than pulling Earth toward the apple?,fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,Why is gravitational attraction between two small rocks much weaker than the attraction between two planets?,fk_grade=11.3_out_of_band,1
MS-PS2,MS-PS2-4,conceptual,How does gravity explain why moons stay in orbit around planets instead of flying off into space?,fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-5,conceptual,How can iron filings arrange themselves into a pattern around a magnet without being touched by the magnet?,fk_grade=10.4_out_of_band,1
MS-PS2,MS-PS2-5,conceptual,Why does the strength of a magnetic force decrease as you move a magnet farther away from another magnet?,fk_grade=9.2_out_of_band,1
MS-PS2,MS-PS2-5,conceptual,Why is it important that forces like magnetism and gravity can act at a distance through fields?,fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-5,conceptual,How does a refrigerator magnet stick to a metal door without glue or any physical attachment holding it there?,fk_grade=11.7_out_of_band,1
MS-PS2,MS-PS2-1,applied,"When a bowling ball rolls down the lane and hits the pins, what force does the bowling ball exert on the pins, and what force do the pins exert back on the bowling ball?",fk_grade=11.2_out_of_band,1
MS-PS2,MS-PS2-1,applied,"If you design a bumper car so that it has a soft foam bumper, how does that affect what happens when two bumper cars collide?",fk_grade=9.3_out_of_band,1
MS-PS2,MS-PS2-1,applied,"When a soccer player kicks a ball, the ball flies forward. What happens to the player's foot, and why?",fk_grade=3.0_out_of_band,1
MS-PS2,MS-PS2-1,applied,A baseball bat hits a baseball. Which object — the bat or the ball — exerts a bigger force on the other?,fk_grade=3.7_out_of_band,1
MS-PS2,MS-PS2-1,applied,"A tennis ball hits a wall and bounces back. If you want the ball to bounce back faster, what would you need to change about the collision?",fk_grade=4.1_out_of_band,1
MS-PS2,MS-PS2-2,applied,A soccer player kicks a ball and it rolls across the grass and slows down. What force is causing the ball to change its motion?,fk_grade=3.4_out_of_band,1
MS-PS2,MS-PS2-2,applied,"If two people push a stalled car from behind with the same force in the same direction, how does the car's acceleration compare to when only one person pushes?",fk_grade=12.4_out_of_band,1
MS-PS2,MS-PS2-2,applied,"A heavy truck and a small car are traveling at the same speed. If the same braking force is applied to both, which one stops in a shorter distance?",fk_grade=4.7_out_of_band,1
MS-PS2,MS-PS2-2,applied,"You slide a book across a table and it slows down and stops. If you slide the same book on a smooth tile floor with the same push, will it travel farther?",fk_grade=3.9_out_of_band,1
MS-PS2,MS-PS2-2,applied,"If a hockey puck is sliding on ice and a player hits it with a stronger slap shot than usual, what happens to how quickly the puck changes speed?",fk_grade=11.2_out_of_band,1
MS-PS2,MS-PS2-2,applied,Two students push on opposite sides of a box with equal force. What happens to the box's motion?,fk_grade=3.7_out_of_band,1
MS-PS2,MS-PS2-2,applied,"If you drop a heavy bowling ball and a tennis ball at the same time from the same height (ignoring air resistance), which hits the ground first?",fk_grade=9.8_out_of_band,1
MS-PS2,MS-PS2-3,applied,"If you wrap more coils of wire around an iron nail connected to a battery, how does that change the nail's ability to pick up paper clips?",fk_grade=11.5_out_of_band,1
MS-PS2,MS-PS2-3,applied,"You have two balloons you've rubbed with wool. If you bring them close together, what happens, and what happens when you move them farther apart?",fk_grade=4.4_out_of_band,1
MS-PS2,MS-PS2-3,applied,"If you use a stronger battery in an electromagnet, what do you think will happen to the number of nails it can pick up?",fk_grade=10.0_out_of_band,1
MS-PS2,MS-PS2-3,applied,You rub a plastic comb through your hair and hold it near tiny bits of paper. What happens if you slowly move the comb away from the paper bits?,fk_grade=4.7_out_of_band,1
MS-PS2,MS-PS2-3,applied,"If you add more batteries in series to an electromagnet circuit, will the electromagnet lift heavier objects than before?",fk_grade=13.6_out_of_band,1
MS-PS2,MS-PS2-3,applied,"You're using a charged balloon to attract your hair. If you hold the balloon right against your head versus one foot away, when is the force stronger?",fk_grade=5.0_out_of_band,1
MS-PS2,MS-PS2-4,applied,Why do astronauts feel weightless on the International Space Station even though Earth's gravity still reaches them there?,fk_grade=11.1_out_of_band,1
MS-PS2,MS-PS2-4,applied,Why is it harder to jump on Jupiter than on Earth?,fk_grade=3.7_out_of_band,1
MS-PS2,MS-PS2-4,applied,"If you could stand on the Moon, would you weigh more, less, or the same as on Earth, and why?",fk_grade=4.0_out_of_band,1
MS-PS2,MS-PS2-4,applied,"Why do large planets like Jupiter pull in so many moons and keep them in orbit, while smaller planets like Mars only have two tiny moons?",fk_grade=10.4_out_of_band,1
MS-PS2,MS-PS2-4,applied,"If a person stands far away from Earth—say, halfway to the Moon—would Earth's gravity still pull them, or would it stop working?",fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-4,applied,"If two students are both standing on Earth and one of them gains a lot of weight, does the gravitational pull between that student and Earth get stronger?",fk_grade=10.9_out_of_band,1
MS-PS2,MS-PS2-5,applied,"If you hold the north pole of one magnet near the north pole of another magnet and let go, what will happen, and what causes it?",fk_grade=9.1_out_of_band,1
MS-PS2,MS-PS2-5,applied,"You drop a ball off a roof and it falls to the ground. Since your hand is no longer touching the ball, what keeps pulling it downward?",fk_grade=3.2_out_of_band,1
MS-PS2,MS-PS2-5,applied,"If you slowly bring the south pole of a magnet toward a compass needle, what do you predict will happen to the needle before the magnet touches the compass?",fk_grade=12.4_out_of_band,1
MS-PS2,MS-PS2-5,applied,"Astronauts on the International Space Station are hundreds of miles above Earth, yet they still experience Earth's gravity. How is that possible if gravity requires no contact?",fk_grade=10.7_out_of_band,1
MS-PS2,MS-PS2-5,applied,"If you scatter iron filings around a bar magnet on a piece of paper, what pattern will the filings form and what does that pattern show?",fk_grade=10.4_out_of_band,1
MS-PS2,MS-PS2-5,applied,"Why does a piece of iron paper clip get pulled toward a magnet that is a few centimeters away, even though air is between them?",fk_grade=10.7_out_of_band,1
MS-PS2,MS-PS2-5,applied,"If you increase the distance between a magnet and a metal paper clip, what do you predict will happen to the force the magnet exerts on the clip?",fk_grade=11.3_out_of_band,1
MS-PS3,MS-PS3-1,recall,What is kinetic energy?,fk_grade=9.6_out_of_band,1
MS-PS3,MS-PS3-1,recall,What is the formula for calculating kinetic energy?,fk_grade=12.6_out_of_band,1
MS-PS3,MS-PS3-1,recall,What are the two factors that determine how much kinetic energy a moving object has?,fk_grade=9.1_out_of_band,1
MS-PS3,MS-PS3-1,recall,"If two objects are moving at the same speed, which one has more kinetic energy — the heavier one or the lighter one?",fk_grade=9.6_out_of_band,1
MS-PS3,MS-PS3-1,recall,What happens to an object's kinetic energy if its speed doubles?,fk_grade=9.1_out_of_band,1
MS-PS3,MS-PS3-1,recall,What kind of graph would show how kinetic energy changes as an object's mass increases (with speed staying constant)?,fk_grade=10.5_out_of_band,1
MS-PS3,MS-PS3-1,recall,What type of relationship exists between kinetic energy and speed — linear or nonlinear?,fk_grade=14.0_out_of_band,1
MS-PS3,MS-PS3-1,recall,What does the steepness (slope) of a line on a kinetic energy vs. mass graph tell you?,fk_grade=3.7_out_of_band,1
MS-PS3,MS-PS3-2,recall,What is potential energy?,fk_grade=9.6_out_of_band,1
MS-PS3,MS-PS3-2,recall,What is gravitational potential energy?,fk_grade=17.0_out_of_band,1
MS-PS3,MS-PS3-2,recall,What happens to the gravitational potential energy of a book as you lift it higher off the ground?,fk_grade=9.8_out_of_band,1
MS-PS3,MS-PS3-2,recall,What is elastic potential energy?,fk_grade=12.3_out_of_band,1
MS-PS3,MS-PS3-2,recall,What does it mean for objects to 'interact at a distance'?,fk_grade=4.8_out_of_band,1
MS-PS3,MS-PS3-2,recall,What is a force field?,fk_grade=-1.8_out_of_band,1
MS-PS3,MS-PS3-2,recall,What happens to the magnetic potential energy stored in a system when two magnets with opposite poles are pushed closer together?,fk_grade=12.3_out_of_band,1
MS-PS3,MS-PS3-2,recall,"What unit is used to measure energy, including potential energy?",fk_grade=11.9_out_of_band,1
MS-PS3,MS-PS3-2,recall,What is a system in science?,fk_grade=2.5_out_of_band,1
MS-PS3,MS-PS3-2,recall,What happens to the gravitational potential energy stored in a system when two objects are moved farther apart?,fk_grade=11.8_out_of_band,1
MS-PS3,MS-PS3-3,recall,In which direction does thermal energy naturally flow?,fk_grade=11.1_out_of_band,1
MS-PS3,MS-PS3-3,recall,What is thermal equilibrium?,fk_grade=12.5_out_of_band,1
MS-PS3,MS-PS3-3,recall,What property of a material makes it a poor thermal conductor?,fk_grade=9.1_out_of_band,1
