standard,standard_text,area,best_models,n_tied,ensemble_accuracy,runner_up_models,runner_up_ensemble,gap
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,"Gemma 3 27b, Gemma 4 31b, OSS 120b, OSS 20b, Nemotron 3 Nano 30ba3",5,1.0,Mistral Small 3.1,0.909,0.091
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,"Gemma 4 31b, OSS 120b, Nemotron 3 Nano 30ba3, OSS 20b",4,1.0,"Gemma 3 27b, Granite 3.3 Instruct",0.929,0.071
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,"Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",3,1.0,"Gemma 4 31b, Gemma 3 27b",0.962,0.038
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,"Gemma 4 31b, OSS 120b, Gemma 3 27b, Nemotron 3 Nano 30ba3",4,1.0,Llama 3.3 70b,0.97,0.03
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,"Gemma 4 31b, Llama 3.3 70b, Nemotron 3 Nano 30ba3, OSS 120b",4,1.0,"OSS 20b, Gemma 3 27b, Mistral Small 3.1",0.966,0.034
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,"Gemma 4 31b, Nemotron 3 Nano 30ba3, OSS 120b, Gemma 3 27b, Llama 3.3 70b, OSS 20b",6,1.0,Mistral Small 3.1,0.846,0.154
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,"Gemma 4 31b, Granite 3.3 Instruct, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Gemma 3 27b, Llama 3.3 70b, Mistral Small 3.1",8,1.0,Llama 3.1 8b,0.889,0.111
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,"Gemma 3 27b, Nemotron 3 Nano 30ba3, OSS 120b, Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, OSS 20b",7,1.0,Granite 3.3 Instruct,0.944,0.056
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,"Gemma 3 27b, Gemma 4 31b, Granite 3.3 Instruct, Nemotron 3 Nano 30ba3, OSS 120b, Llama 3.1 8b, OSS 20b",7,1.0,"Llama 3.3 70b, Mistral Small 3.1",0.917,0.083
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,"Gemma 3 27b, Granite 3.3 Instruct, Llama 3.1 8b, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1",9,1.0,,,
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,"Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, Gemma 3 27b, Granite 3.3 Instruct, OSS 20b",8,1.0,Llama 3.1 8b,0.75,0.25
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,"Gemma 3 27b, Gemma 4 31b, OSS 120b, OSS 20b",4,0.9,"Nemotron 3 Nano 30ba3, Granite 3.3 Instruct, Mistral Small 3.1",0.8,0.1
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,"Gemma 3 27b, Llama 3.3 70b, Nemotron 3 Nano 30ba3, OSS 120b, Llama 3.1 8b",5,1.0,"Granite 3.3 Instruct, Gemma 4 31b, OSS 20b, Mistral Small 3.1",0.889,0.111
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,"Nemotron 3 Nano 30ba3, OSS 20b, Granite 3.3 Instruct, Llama 3.1 8b",4,0.958,"Gemma 3 27b, Gemma 4 31b, Llama 3.3 70b, OSS 120b, Mistral Small 3.1",0.917,0.041
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,"Gemma 4 31b, Llama 3.3 70b, Nemotron 3 Nano 30ba3, OSS 120b, Mistral Small 3.1, OSS 20b",6,1.0,"Gemma 3 27b, Granite 3.3 Instruct",0.941,0.059
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,"OSS 120b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 20b",4,1.0,"Gemma 4 31b, Gemma 3 27b",0.97,0.03
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,"Gemma 3 27b, Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",7,1.0,"Granite 3.3 Instruct, Llama 3.1 8b",0.929,0.071
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,"Gemma 3 27b, Gemma 4 31b, Granite 3.3 Instruct, Llama 3.1 8b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",9,1.0,,,
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,"OSS 120b, Gemma 4 31b, OSS 20b, Llama 3.3 70b, Nemotron 3 Nano 30ba3",5,1.0,Mistral Small 3.1,0.979,0.021
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,"Nemotron 3 Nano 30ba3, OSS 120b, Gemma 4 31b",3,1.0,"Mistral Small 3.1, OSS 20b, Llama 3.3 70b",0.973,0.027
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,"Gemma 3 27b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, Gemma 4 31b, Llama 3.3 70b, OSS 20b",7,1.0,Granite 3.3 Instruct,0.926,0.074
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,"Gemma 4 31b, Gemma 3 27b, OSS 120b, Nemotron 3 Nano 30ba3",4,1.0,Llama 3.3 70b,0.96,0.04
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,"Gemma 4 31b, OSS 120b, Nemotron 3 Nano 30ba3",3,1.0,OSS 20b,0.917,0.083
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,"Gemma 3 27b, Gemma 4 31b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, Llama 3.1 8b, Llama 3.3 70b, OSS 20b",8,1.0,Granite 3.3 Instruct,0.889,0.111
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,"Gemma 3 27b, Gemma 4 31b, Granite 3.3 Instruct, Llama 3.3 70b, Nemotron 3 Nano 30ba3, OSS 120b, Mistral Small 3.1, OSS 20b",8,1.0,Llama 3.1 8b,0.6,0.4
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,"Gemma 3 27b, Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Granite 3.3 Instruct, Llama 3.1 8b",9,1.0,,,
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,"Gemma 3 27b, Gemma 4 31b, OSS 120b, OSS 20b",4,1.0,"Llama 3.3 70b, Nemotron 3 Nano 30ba3",0.962,0.038
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,"Nemotron 3 Nano 30ba3, OSS 120b, Mistral Small 3.1",3,1.0,"Gemma 4 31b, Granite 3.3 Instruct, Gemma 3 27b, OSS 20b, Llama 3.3 70b",0.955,0.045
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,"Nemotron 3 Nano 30ba3, OSS 120b",2,1.0,"Gemma 4 31b, OSS 20b",0.966,0.034
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,"Llama 3.3 70b, OSS 20b, Gemma 4 31b, Nemotron 3 Nano 30ba3, OSS 120b",5,1.0,"Gemma 3 27b, Mistral Small 3.1",0.895,0.105
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,"OSS 120b, Granite 3.3 Instruct, Nemotron 3 Nano 30ba3, Gemma 4 31b",4,1.0,"Llama 3.3 70b, Mistral Small 3.1",0.938,0.062
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,"OSS 120b, Nemotron 3 Nano 30ba3, OSS 20b",3,1.0,"Gemma 4 31b, Llama 3.3 70b, Granite 3.3 Instruct, Mistral Small 3.1",0.95,0.05
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,"Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Gemma 3 27b, Gemma 4 31b, Granite 3.3 Instruct, Mistral Small 3.1",7,1.0,Llama 3.3 70b,0.923,0.077
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,"Nemotron 3 Nano 30ba3, OSS 120b, Gemma 3 27b, Llama 3.3 70b",4,1.0,"Gemma 4 31b, OSS 20b, Granite 3.3 Instruct",0.944,0.056
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,"Gemma 4 31b, Mistral Small 3.1, OSS 120b, OSS 20b",4,1.0,"Llama 3.3 70b, Nemotron 3 Nano 30ba3, Gemma 3 27b, Granite 3.3 Instruct",0.933,0.067
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,"Gemma 4 31b, OSS 120b, Nemotron 3 Nano 30ba3",3,1.0,Mistral Small 3.1,0.917,0.083
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,"Gemma 4 31b, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Mistral Small 3.1",5,1.0,Llama 3.3 70b,0.96,0.04
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,"Gemma 4 31b, Granite 3.3 Instruct, OSS 120b",3,1.0,"Nemotron 3 Nano 30ba3, OSS 20b, Mistral Small 3.1, Llama 3.3 70b",0.957,0.043
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,"Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, Granite 3.3 Instruct, Llama 3.1 8b, OSS 20b",8,1.0,Gemma 3 27b,0.867,0.133
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,"Mistral Small 3.1, OSS 20b, Llama 3.3 70b",3,1.0,"Gemma 4 31b, Granite 3.3 Instruct, Llama 3.1 8b, Nemotron 3 Nano 30ba3, OSS 120b",0.933,0.067
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,"Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1, OSS 20b, Granite 3.3 Instruct, Nemotron 3 Nano 30ba3, OSS 120b",7,1.0,"Llama 3.1 8b, Gemma 3 27b",0.923,0.077
MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions.",MS-ETS1,"Gemma 3 27b, Gemma 4 31b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Llama 3.1 8b, Llama 3.3 70b",8,1.0,Granite 3.3 Instruct,0.964,0.036
MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.,MS-ETS1,"Gemma 3 27b, Gemma 4 31b, Llama 3.1 8b, Llama 3.3 70b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",8,1.0,Granite 3.3 Instruct,0.944,0.056
MS-ETS1-3,Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success.,MS-ETS1,"Llama 3.3 70b, OSS 20b, OSS 120b",3,1.0,"Nemotron 3 Nano 30ba3, Gemma 4 31b, Granite 3.3 Instruct, Llama 3.1 8b, Mistral Small 3.1",0.947,0.053
MS-ETS1-4,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved.",MS-ETS1,"Gemma 4 31b, Llama 3.1 8b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",6,1.0,"Granite 3.3 Instruct, Llama 3.3 70b",0.957,0.043
