standard,standard_text,area,rank,model,first_run_accuracy,ensemble_accuracy,n_questions
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,4,OSS 20b,0.963,0.963,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,4,Mistral Small 3.1,0.857,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,4,OSS 20b,1.0,1.0,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,4,Nemotron 3 Nano 30ba3,0.941,1.0,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,4,Mistral Small 3.1,0.846,0.846,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,4,Gemma 4 31b,0.9,0.9,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,5,Mistral Small 3.1,0.889,0.963,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,5,OSS 120b,0.857,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,5,Mistral Small 3.1,0.846,1.0,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,5,OSS 20b,0.941,1.0,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,5,Nemotron 3 Nano 30ba3,0.769,0.846,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,5,Llama 3.3 70b,0.9,0.9,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,6,Gemma 3 27b,0.852,0.889,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,6,OSS 20b,0.714,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,6,Gemma 4 31b,0.923,0.923,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,6,Mistral Small 3.1,0.882,0.941,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,6,Gemma 3 27b,0.692,0.769,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,6,Mistral Small 3.1,0.9,0.9,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,7,Llama 3.3 70b,0.815,0.889,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,7,Granite 3.3 Instruct,0.857,0.857,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,7,Llama 3.3 70b,0.923,0.923,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,7,Gemma 3 27b,0.824,0.882,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,7,Llama 3.3 70b,0.692,0.692,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,7,Gemma 3 27b,0.8,0.8,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,8,Llama 3.1 8b,0.778,0.889,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,8,Gemma 3 27b,0.714,0.857,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,8,Granite 3.3 Instruct,0.769,0.846,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,8,Granite 3.3 Instruct,0.824,0.882,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,8,Llama 3.1 8b,0.615,0.615,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,8,Granite 3.3 Instruct,0.6,0.6,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,9,Granite 3.3 Instruct,0.63,0.815,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,9,Llama 3.1 8b,0.714,0.429,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,9,Llama 3.1 8b,0.692,0.769,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,9,Llama 3.1 8b,0.706,0.824,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,9,Granite 3.3 Instruct,0.615,0.538,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,9,Llama 3.1 8b,0.3,0.4,10
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,1,Gemma 4 31b,1.0,1.0,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,1,Gemma 3 27b,1.0,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,1,OSS 120b,1.0,1.0,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,1,Gemma 4 31b,1.0,1.0,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,1,Gemma 4 31b,1.0,1.0,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,2,OSS 120b,0.95,0.9,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,2,Mistral Small 3.1,1.0,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,2,Gemma 4 31b,0.958,1.0,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,2,Nemotron 3 Nano 30ba3,1.0,1.0,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,2,OSS 120b,1.0,1.0,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,3,Gemma 3 27b,0.9,0.9,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,3,Nemotron 3 Nano 30ba3,1.0,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,3,Nemotron 3 Nano 30ba3,0.958,1.0,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,3,OSS 120b,0.929,0.929,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,3,Nemotron 3 Nano 30ba3,0.933,1.0,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,4,Mistral Small 3.1,0.85,0.9,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,4,OSS 120b,1.0,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,4,OSS 20b,0.917,1.0,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,4,OSS 20b,0.929,0.929,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,4,OSS 20b,0.933,0.933,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,5,Llama 3.3 70b,0.8,0.9,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,5,Gemma 4 31b,0.944,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,5,Gemma 3 27b,0.917,0.917,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,5,Mistral Small 3.1,0.857,0.929,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,5,Llama 3.3 70b,0.8,0.933,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,6,Nemotron 3 Nano 30ba3,0.75,0.9,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,6,OSS 20b,0.944,1.0,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,6,Llama 3.3 70b,0.875,0.917,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,6,Llama 3.1 8b,0.5,0.929,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,6,Gemma 3 27b,0.867,0.867,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,7,OSS 20b,0.8,0.85,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,7,Llama 3.3 70b,1.0,0.944,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,7,Mistral Small 3.1,0.833,0.917,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,7,Llama 3.3 70b,1.0,0.857,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,7,Mistral Small 3.1,0.8,0.867,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,8,Granite 3.3 Instruct,0.55,0.7,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,8,Llama 3.1 8b,0.833,0.944,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,8,Granite 3.3 Instruct,0.792,0.917,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,8,Gemma 3 27b,0.857,0.786,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,8,Llama 3.1 8b,0.733,0.8,15
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,9,Llama 3.1 8b,0.55,0.6,20
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,9,Granite 3.3 Instruct,1.0,0.889,18
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,9,Llama 3.1 8b,0.875,0.792,24
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,9,Granite 3.3 Instruct,0.643,0.643,14
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,9,Granite 3.3 Instruct,0.667,0.8,15
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,1,Mistral Small 3.1,1.0,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,1,Gemma 3 27b,1.0,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,1,Gemma 4 31b,1.0,1.0,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,1,Gemma 3 27b,1.0,1.0,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,1,Gemma 4 31b,1.0,1.0,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,2,Nemotron 3 Nano 30ba3,1.0,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,2,Gemma 4 31b,1.0,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,2,Nemotron 3 Nano 30ba3,1.0,1.0,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,2,Gemma 4 31b,1.0,1.0,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,2,OSS 120b,1.0,1.0,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,3,OSS 120b,1.0,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,3,Mistral Small 3.1,1.0,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,3,Gemma 3 27b,0.955,1.0,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,3,OSS 120b,1.0,1.0,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,3,Nemotron 3 Nano 30ba3,0.929,1.0,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,4,OSS 20b,1.0,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,4,OSS 120b,1.0,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,4,OSS 120b,0.955,1.0,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,4,OSS 20b,1.0,1.0,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,4,OSS 20b,0.929,1.0,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,5,Gemma 4 31b,0.947,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,5,OSS 20b,1.0,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,5,OSS 20b,0.955,0.955,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,5,Nemotron 3 Nano 30ba3,0.909,1.0,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,5,Gemma 3 27b,0.929,0.929,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,6,Gemma 3 27b,0.895,1.0,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,6,Llama 3.3 70b,0.944,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,6,Llama 3.3 70b,0.864,0.909,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,6,Mistral Small 3.1,0.909,0.909,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,6,Granite 3.3 Instruct,0.929,0.929,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,7,Llama 3.3 70b,0.947,0.947,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,7,Nemotron 3 Nano 30ba3,0.944,1.0,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,7,Mistral Small 3.1,0.909,0.864,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,7,Llama 3.3 70b,0.909,0.818,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,7,Mistral Small 3.1,0.929,0.857,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,8,Llama 3.1 8b,0.789,0.842,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,8,Llama 3.1 8b,0.944,0.944,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,8,Granite 3.3 Instruct,0.682,0.818,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,8,Granite 3.3 Instruct,0.455,0.636,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,8,Llama 3.3 70b,0.786,0.857,14
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,9,Granite 3.3 Instruct,0.895,0.789,19
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,9,Granite 3.3 Instruct,0.722,0.944,18
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,9,Llama 3.1 8b,0.682,0.773,22
MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",MS-PS3,9,Llama 3.1 8b,0.455,0.636,11
MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",MS-PS3,9,Llama 3.1 8b,0.714,0.857,14
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,1,Nemotron 3 Nano 30ba3,1.0,1.0,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,1,Gemma 4 31b,1.0,1.0,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,1,Gemma 4 31b,1.0,1.0,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,2,OSS 120b,1.0,1.0,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,2,OSS 120b,1.0,1.0,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,2,Llama 3.3 70b,1.0,1.0,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,3,OSS 20b,0.962,1.0,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,3,Gemma 3 27b,0.97,1.0,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,3,Nemotron 3 Nano 30ba3,1.0,1.0,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,4,Gemma 4 31b,0.962,0.962,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,4,Nemotron 3 Nano 30ba3,0.97,1.0,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,4,OSS 120b,0.966,1.0,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,5,Gemma 3 27b,0.885,0.962,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,5,Llama 3.3 70b,0.97,0.97,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,5,OSS 20b,0.966,0.966,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,6,Granite 3.3 Instruct,0.731,0.923,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,6,Mistral Small 3.1,0.97,0.939,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,6,Gemma 3 27b,0.931,0.966,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,7,Llama 3.3 70b,0.923,0.885,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,7,OSS 20b,0.879,0.939,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,7,Mistral Small 3.1,0.897,0.966,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,8,Mistral Small 3.1,0.769,0.885,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,8,Granite 3.3 Instruct,0.758,0.909,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,8,Granite 3.3 Instruct,0.897,0.897,29
MS-PS4-1,Use mathematical representations to describe a simple model for waves that includes how the amplitude of a wave is related to the energy in a wave.,MS-PS4,9,Llama 3.1 8b,0.846,0.846,26
MS-PS4-2,"Develop and use a model to describe that waves are reflected, absorbed, or transmitted through various materials.",MS-PS4,9,Llama 3.1 8b,0.727,0.727,33
MS-PS4-3,Integrate qualitative scientific and technical information to support the claim that digitized signals are a more reliable way to encode and transmit information than analog signals.,MS-PS4,9,Llama 3.1 8b,0.793,0.897,29
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,1,Gemma 4 31b,1.0,1.0,13
