question_id,area,question_type,fraction_correct,discrimination,trivial,broken
MS-ESS1-013,MS-ESS1,recall,0.889,0.314,0,0
MS-ESS1-014,MS-ESS1,recall,0.889,0.222,0,0
MS-ESS1-015,MS-ESS1,recall,0.889,0.157,0,0
MS-ESS1-024,MS-ESS1,conceptual,0.889,0.314,0,0
MS-ESS1-044,MS-ESS1,applied,0.889,0.157,0,0
MS-ESS1-056,MS-ESS1,applied,0.889,0.157,0,0
MS-ESS1-064,MS-ESS1,applied,0.889,0.157,0,0
MS-ESS1-070,MS-ESS1,applied,0.889,0.222,0,0
MS-ESS1-074,MS-ESS1,applied,0.889,0.157,0,0
MS-ESS1-092,MS-ESS1,recall,0.889,0.157,0,0
MS-ESS1-097,MS-ESS1,recall,0.889,0.222,0,0
MS-ESS1-005,MS-ESS1,recall,0.926,0.21,0,0
MS-ESS1-008,MS-ESS1,recall,0.926,0.139,0,0
MS-ESS1-016,MS-ESS1,recall,0.926,0.21,0,0
MS-ESS1-020,MS-ESS1,conceptual,0.926,0.139,0,0
MS-ESS1-022,MS-ESS1,conceptual,0.926,0.139,0,0
MS-ESS1-043,MS-ESS1,conceptual,0.926,0.21,0,0
MS-ESS1-062,MS-ESS1,applied,0.926,0.139,0,0
MS-ESS1-072,MS-ESS1,applied,0.926,0.139,0,0
MS-ESS1-085,MS-ESS1,recall,0.926,0.21,0,0
MS-ESS1-086,MS-ESS1,applied,0.926,0.21,0,0
MS-ESS1-087,MS-ESS1,applied,0.926,0.21,0,0
MS-ESS1-089,MS-ESS1,conceptual,0.926,0.139,0,0
MS-ESS1-091,MS-ESS1,conceptual,0.926,0.139,0,0
MS-ESS1-002,MS-ESS1,recall,0.963,0.105,1,0
MS-ESS1-017,MS-ESS1,recall,0.963,0.105,1,0
MS-ESS1-027,MS-ESS1,conceptual,0.963,0.105,1,0
MS-ESS1-029,MS-ESS1,conceptual,0.963,0.105,1,0
MS-ESS1-031,MS-ESS1,conceptual,0.963,0.105,1,0
MS-ESS1-036,MS-ESS1,conceptual,0.963,0.105,1,0
MS-ESS1-042,MS-ESS1,conceptual,0.963,0.105,1,0
MS-ESS1-046,MS-ESS1,applied,0.963,0.105,1,0
MS-ESS1-052,MS-ESS1,applied,0.963,0.105,1,0
MS-ESS1-053,MS-ESS1,applied,0.963,0.105,1,0
MS-ESS1-059,MS-ESS1,applied,0.963,0.105,1,0
MS-ESS1-066,MS-ESS1,recall,0.963,0.105,1,0
MS-ESS1-067,MS-ESS1,recall,0.963,0.105,1,0
MS-ESS1-080,MS-ESS1,recall,0.963,0.105,1,0
MS-ESS1-001,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-003,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-007,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-010,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-018,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-021,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-023,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-026,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-035,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-040,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-061,MS-ESS1,applied,1.0,0.0,1,0
MS-ESS1-065,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-068,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-069,MS-ESS1,conceptual,1.0,0.0,1,0
MS-ESS1-078,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-079,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-081,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-083,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-093,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS1-096,MS-ESS1,recall,1.0,0.0,1,0
MS-ESS2-086,MS-ESS2,recall,0.481,0.277,0,0
MS-ESS2-066,MS-ESS2,applied,0.593,0.409,0,0
MS-ESS2-046,MS-ESS2,conceptual,0.63,0.399,0,0
MS-ESS2-084,MS-ESS2,applied,0.63,0.331,0,0
MS-ESS2-014,MS-ESS2,recall,0.667,0.385,0,0
MS-ESS2-048,MS-ESS2,applied,0.667,0.351,0,0
MS-ESS2-077,MS-ESS2,applied,0.667,0.314,0,0
MS-ESS2-090,MS-ESS2,recall,0.667,0.314,0,0
MS-ESS2-023,MS-ESS2,conceptual,0.704,0.246,0,0
MS-ESS2-076,MS-ESS2,applied,0.704,0.189,0,0
MS-ESS2-072,MS-ESS2,conceptual,0.741,0.343,0,0
MS-ESS2-005,MS-ESS2,recall,0.778,0.222,0,0
MS-ESS2-024,MS-ESS2,conceptual,0.778,0.351,0,0
MS-ESS2-003,MS-ESS2,recall,0.815,0.228,0,0
MS-ESS2-016,MS-ESS2,recall,0.815,0.228,0,0
MS-ESS2-018,MS-ESS2,conceptual,0.815,0.319,0,0
MS-ESS2-059,MS-ESS2,applied,0.815,0.319,0,0
MS-ESS2-079,MS-ESS2,conceptual,0.815,0.228,0,0
MS-ESS2-032,MS-ESS2,conceptual,0.852,0.228,0,0
MS-ESS2-044,MS-ESS2,conceptual,0.852,0.277,0,0
MS-ESS2-051,MS-ESS2,applied,0.852,0.277,0,0
MS-ESS2-052,MS-ESS2,applied,0.852,0.228,0,0
MS-ESS2-062,MS-ESS2,applied,0.852,0.228,0,0
MS-ESS2-063,MS-ESS2,applied,0.852,0.319,0,0
MS-ESS2-068,MS-ESS2,recall,0.852,0.277,0,0
MS-ESS2-069,MS-ESS2,recall,0.852,0.228,0,0
MS-ESS2-074,MS-ESS2,applied,0.852,0.228,0,0
MS-ESS2-009,MS-ESS2,recall,0.889,0.314,0,0
MS-ESS2-015,MS-ESS2,recall,0.889,0.222,0,0
MS-ESS2-029,MS-ESS2,conceptual,0.889,0.157,0,0
MS-ESS2-033,MS-ESS2,conceptual,0.889,0.222,0,0
MS-ESS2-061,MS-ESS2,applied,0.889,0.314,0,0
MS-ESS2-071,MS-ESS2,conceptual,0.889,0.157,0,0
MS-ESS2-073,MS-ESS2,applied,0.889,0.222,0,0
MS-ESS2-075,MS-ESS2,applied,0.889,0.157,0,0
MS-ESS2-094,MS-ESS2,applied,0.889,0.157,0,0
MS-ESS2-097,MS-ESS2,applied,0.889,0.222,0,0
MS-ESS2-002,MS-ESS2,recall,0.926,0.139,0,0
MS-ESS2-011,MS-ESS2,recall,0.926,0.139,0,0
MS-ESS2-019,MS-ESS2,conceptual,0.926,0.139,0,0
MS-ESS2-025,MS-ESS2,conceptual,0.926,0.139,0,0
MS-ESS2-031,MS-ESS2,conceptual,0.926,0.139,0,0
MS-ESS2-040,MS-ESS2,conceptual,0.926,0.139,0,0
MS-ESS2-041,MS-ESS2,conceptual,0.926,0.139,0,0
MS-ESS2-049,MS-ESS2,applied,0.926,0.139,0,0
MS-ESS2-056,MS-ESS2,applied,0.926,0.139,0,0
MS-ESS2-057,MS-ESS2,applied,0.926,0.139,0,0
MS-ESS2-067,MS-ESS2,recall,0.926,0.21,0,0
MS-ESS2-070,MS-ESS2,recall,0.926,0.139,0,0
MS-ESS2-081,MS-ESS2,applied,0.926,0.139,0,0
MS-ESS2-083,MS-ESS2,recall,0.926,0.21,0,0
MS-ESS2-085,MS-ESS2,recall,0.926,0.21,0,0
MS-ESS2-001,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-008,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-017,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-020,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-021,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-026,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-027,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-034,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-035,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-036,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-038,MS-ESS2,conceptual,0.963,0.105,1,0
MS-ESS2-047,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-050,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-060,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-064,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-065,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-087,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-088,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-091,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-092,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-095,MS-ESS2,recall,0.963,0.105,1,0
MS-ESS2-096,MS-ESS2,applied,0.963,0.105,1,0
MS-ESS2-004,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-006,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-007,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-010,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-012,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-013,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-028,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-030,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-037,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-039,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-042,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-043,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS2-053,MS-ESS2,applied,1.0,0.0,1,0
MS-ESS2-054,MS-ESS2,applied,1.0,0.0,1,0
MS-ESS2-055,MS-ESS2,applied,1.0,0.0,1,0
MS-ESS2-058,MS-ESS2,applied,1.0,0.0,1,0
MS-ESS2-078,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-080,MS-ESS2,applied,1.0,0.0,1,0
MS-ESS2-089,MS-ESS2,recall,1.0,0.0,1,0
MS-ESS2-093,MS-ESS2,conceptual,1.0,0.0,1,0
MS-ESS3-041,MS-ESS3,applied,0.37,0.331,0,0
MS-ESS3-046,MS-ESS3,applied,0.556,0.314,0,0
MS-ESS3-030,MS-ESS3,conceptual,0.704,0.292,0,0
MS-ESS3-061,MS-ESS3,conceptual,0.704,0.292,0,0
MS-ESS3-066,MS-ESS3,recall,0.741,0.262,0,0
MS-ESS3-010,MS-ESS3,recall,0.778,0.314,0,0
MS-ESS3-039,MS-ESS3,applied,0.815,0.166,0,0
MS-ESS3-063,MS-ESS3,applied,0.815,0.228,0,0
MS-ESS3-032,MS-ESS3,applied,0.852,0.228,0,0
MS-ESS3-035,MS-ESS3,applied,0.852,0.228,0,0
MS-ESS3-053,MS-ESS3,applied,0.852,0.228,0,0
MS-ESS3-054,MS-ESS3,recall,0.852,0.319,0,0
MS-ESS3-076,MS-ESS3,recall,0.852,0.277,0,0
MS-ESS3-005,MS-ESS3,recall,0.889,0.157,0,0
MS-ESS3-055,MS-ESS3,recall,0.889,0.222,0,0
MS-ESS3-057,MS-ESS3,recall,0.889,0.314,0,0
MS-ESS3-058,MS-ESS3,recall,0.889,0.222,0,0
MS-ESS3-059,MS-ESS3,recall,0.889,0.222,0,0
MS-ESS3-060,MS-ESS3,conceptual,0.889,0.222,0,0
MS-ESS3-065,MS-ESS3,applied,0.889,0.222,0,0
MS-ESS3-077,MS-ESS3,conceptual,0.889,0.157,0,0
MS-ESS3-009,MS-ESS3,recall,0.926,0.139,0,0
MS-ESS3-012,MS-ESS3,recall,0.926,0.139,0,0
MS-ESS3-016,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-017,MS-ESS3,conceptual,0.926,0.21,0,0
MS-ESS3-050,MS-ESS3,applied,0.926,0.139,0,0
MS-ESS3-068,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-069,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-071,MS-ESS3,applied,0.926,0.139,0,0
MS-ESS3-079,MS-ESS3,applied,0.926,0.139,0,0
MS-ESS3-080,MS-ESS3,applied,0.926,0.21,0,0
MS-ESS3-082,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-083,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-084,MS-ESS3,applied,0.926,0.139,0,0
MS-ESS3-090,MS-ESS3,conceptual,0.926,0.139,0,0
MS-ESS3-011,MS-ESS3,recall,0.963,0.105,1,0
MS-ESS3-015,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-019,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-022,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-031,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-033,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-036,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-044,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-048,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-056,MS-ESS3,recall,0.963,0.105,1,0
MS-ESS3-062,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-064,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-070,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-073,MS-ESS3,applied,0.963,0.105,1,0
MS-ESS3-078,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-081,MS-ESS3,recall,0.963,0.105,1,0
MS-ESS3-086,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-088,MS-ESS3,recall,0.963,0.105,1,0
MS-ESS3-092,MS-ESS3,conceptual,0.963,0.105,1,0
MS-ESS3-001,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-002,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-003,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-004,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-006,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-007,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-008,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-013,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-014,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-018,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-020,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-021,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-023,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-024,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-025,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-026,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-027,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-028,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-029,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ESS3-034,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-037,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-038,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-040,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-042,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-045,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-047,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-049,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-051,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-052,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-067,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-072,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-074,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-075,MS-ESS3,applied,1.0,0.0,1,0
MS-ESS3-085,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-087,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-089,MS-ESS3,recall,1.0,0.0,1,0
MS-ESS3-091,MS-ESS3,conceptual,1.0,0.0,1,0
MS-ETS1-079,MS-ETS1,conceptual,0.704,0.246,0,0
MS-ETS1-052,MS-ETS1,applied,0.741,0.262,0,0
MS-ETS1-051,MS-ETS1,applied,0.815,0.228,0,0
MS-ETS1-069,MS-ETS1,applied,0.852,0.277,0,0
MS-ETS1-070,MS-ETS1,applied,0.852,0.319,0,0
MS-ETS1-042,MS-ETS1,applied,0.889,0.314,0,0
MS-ETS1-057,MS-ETS1,applied,0.889,0.157,0,0
MS-ETS1-062,MS-ETS1,conceptual,0.889,0.222,0,0
MS-ETS1-065,MS-ETS1,conceptual,0.889,0.314,0,0
MS-ETS1-067,MS-ETS1,applied,0.889,0.222,0,0
MS-ETS1-068,MS-ETS1,applied,0.889,0.314,0,0
MS-ETS1-002,MS-ETS1,recall,0.926,0.139,0,0
MS-ETS1-028,MS-ETS1,conceptual,0.926,0.21,0,0
MS-ETS1-031,MS-ETS1,applied,0.926,0.139,0,0
MS-ETS1-035,MS-ETS1,applied,0.926,0.139,0,0
MS-ETS1-053,MS-ETS1,applied,0.926,0.139,0,0
MS-ETS1-058,MS-ETS1,recall,0.926,0.21,0,0
MS-ETS1-063,MS-ETS1,conceptual,0.926,0.21,0,0
MS-ETS1-088,MS-ETS1,conceptual,0.926,0.21,0,0
MS-ETS1-030,MS-ETS1,applied,0.963,0.105,1,0
MS-ETS1-036,MS-ETS1,applied,0.963,0.105,1,0
MS-ETS1-037,MS-ETS1,applied,0.963,0.105,1,0
MS-ETS1-039,MS-ETS1,applied,0.963,0.105,1,0
MS-ETS1-048,MS-ETS1,applied,0.963,0.105,1,0
MS-ETS1-059,MS-ETS1,conceptual,0.963,0.105,1,0
MS-ETS1-060,MS-ETS1,conceptual,0.963,0.105,1,0
MS-ETS1-061,MS-ETS1,conceptual,0.963,0.105,1,0
MS-ETS1-066,MS-ETS1,conceptual,0.963,0.105,1,0
MS-ETS1-074,MS-ETS1,recall,0.963,0.105,1,0
MS-ETS1-001,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-003,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-004,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-005,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-006,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-007,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-008,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-009,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-010,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-011,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-012,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-013,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-014,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-015,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-016,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-017,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-018,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-019,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-020,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-021,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-022,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-023,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-024,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-025,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-026,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-027,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-029,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-032,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-033,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-034,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-038,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-040,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-041,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-043,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-044,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-045,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-049,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-050,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-054,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-055,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-056,MS-ETS1,applied,1.0,0.0,1,0
MS-ETS1-064,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-071,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-072,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-073,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-076,MS-ETS1,recall,1.0,0.0,1,0
MS-ETS1-077,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-078,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-080,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-081,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-082,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-083,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-084,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-085,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-086,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-087,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-089,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-090,MS-ETS1,conceptual,1.0,0.0,1,0
MS-ETS1-091,MS-ETS1,conceptual,1.0,0.0,1,0
MS-LS1-008,MS-LS1,recall,0.111,0.222,0,0
MS-LS1-076,MS-LS1,recall,0.407,0.305,0,0
MS-LS1-055,MS-LS1,applied,0.63,0.367,0,0
MS-LS1-079,MS-LS1,applied,0.667,0.416,0,0
MS-LS1-012,MS-LS1,conceptual,0.741,0.305,0,0
MS-LS1-067,MS-LS1,applied,0.741,0.343,0,0
MS-LS1-078,MS-LS1,conceptual,0.778,0.222,0,0
MS-LS1-001,MS-LS1,recall,0.815,0.355,0,0
MS-LS1-003,MS-LS1,recall,0.852,0.166,0,0
MS-LS1-028,MS-LS1,conceptual,0.852,0.319,0,0
MS-LS1-032,MS-LS1,applied,0.852,0.166,0,0
MS-LS1-039,MS-LS1,applied,0.852,0.228,0,0
MS-LS1-054,MS-LS1,applied,0.852,0.277,0,0
MS-LS1-082,MS-LS1,recall,0.852,0.228,0,0
MS-LS1-086,MS-LS1,conceptual,0.852,0.228,0,0
MS-LS1-093,MS-LS1,recall,0.852,0.166,0,0
MS-LS1-004,MS-LS1,recall,0.889,0.157,0,0
MS-LS1-017,MS-LS1,conceptual,0.889,0.222,0,0
MS-LS1-023,MS-LS1,conceptual,0.889,0.157,0,0
MS-LS1-027,MS-LS1,conceptual,0.889,0.222,0,0
MS-LS1-072,MS-LS1,applied,0.889,0.157,0,0
MS-LS1-006,MS-LS1,recall,0.926,0.139,0,0
MS-LS1-007,MS-LS1,recall,0.926,0.21,0,0
MS-LS1-009,MS-LS1,recall,0.926,0.139,0,0
MS-LS1-013,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-016,MS-LS1,conceptual,0.926,0.21,0,0
MS-LS1-019,MS-LS1,conceptual,0.926,0.21,0,0
MS-LS1-020,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-026,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-029,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-031,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-046,MS-LS1,applied,0.926,0.139,0,0
MS-LS1-056,MS-LS1,applied,0.926,0.139,0,0
MS-LS1-064,MS-LS1,conceptual,0.926,0.21,0,0
MS-LS1-069,MS-LS1,applied,0.926,0.139,0,0
MS-LS1-074,MS-LS1,recall,0.926,0.139,0,0
MS-LS1-090,MS-LS1,recall,0.926,0.139,0,0
MS-LS1-095,MS-LS1,conceptual,0.926,0.139,0,0
MS-LS1-002,MS-LS1,recall,0.963,0.105,1,0
MS-LS1-014,MS-LS1,conceptual,0.963,0.105,1,0
MS-LS1-021,MS-LS1,conceptual,0.963,0.105,1,0
MS-LS1-024,MS-LS1,conceptual,0.963,0.105,1,0
MS-LS1-030,MS-LS1,conceptual,0.963,0.105,1,0
MS-LS1-052,MS-LS1,applied,0.963,0.105,1,0
MS-LS1-053,MS-LS1,applied,0.963,0.105,1,0
MS-LS1-061,MS-LS1,conceptual,0.963,0.105,1,0
MS-LS1-062,MS-LS1,conceptual,0.963,0.105,1,0
