question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade
MS-PS1-021,MS-PS1,MS-PS1-5,conceptual,Why doesn't the total mass change when chemicals react with each other?,"Mass doesn't change because atoms are never created or destroyed in a chemical reaction—they just rearrange into new combinations. Since the same atoms are present before and after the reaction, the total mass stays the same.",claude-4.6-sonnet-thinking,6.79
MS-PS1-022,MS-PS1,MS-PS1-5,conceptual,Why do scientists count atoms on both sides of a chemical equation?,"Scientists count atoms on both sides to confirm that no atoms have been gained or lost during the reaction. If the number of each type of atom is equal on both sides, it shows that mass is conserved.",claude-4.6-sonnet-thinking,7.77
MS-PS1-023,MS-PS1,MS-PS1-5,conceptual,How can a piece of wood seem to almost disappear when it burns if mass is conserved?,"When wood burns, its atoms don't disappear—they combine with oxygen from the air and are released as gases like carbon dioxide and water vapor. If you could collect all the gases produced, the total mass would equal the mass of the original wood plus the oxygen used.",claude-4.6-sonnet-thinking,5.62
MS-PS1-024,MS-PS1,MS-PS1-5,conceptual,"Why does a closed, sealed container help prove that mass is conserved in a reaction?",A sealed container traps all the atoms involved in the reaction so none can escape as gases. This makes it easy to measure the mass before and after and see that it stays exactly the same.,claude-4.6-sonnet-thinking,5.99
MS-PS1-025,MS-PS1,MS-PS1-6,conceptual,Why does a hand warmer get hot when you open the packet and expose it to air?,"When the iron powder inside reacts with oxygen in the air, a chemical reaction called oxidation occurs. This reaction releases energy in the form of heat, which is why the packet warms up.",claude-4.6-sonnet-thinking,5.62
MS-PS1-026,MS-PS1,MS-PS1-6,conceptual,How does an instant cold pack cool down without being placed in a freezer?,"When the inner water pouch inside the cold pack is broken, the water mixes with ammonium nitrate and a chemical reaction begins. This reaction absorbs thermal energy from the surroundings, causing the pack to feel cold.",claude-4.6-sonnet-thinking,5.04
MS-PS1-027,MS-PS1,MS-PS1-6,conceptual,Why do exothermic chemical reactions feel warm to the touch?,"In an exothermic reaction, chemical bonds break and new bonds form in a way that releases more energy than is taken in. That released energy transfers to the surrounding matter as thermal energy, raising the temperature.",claude-4.6-sonnet-thinking,8.37
MS-PS1-028,MS-PS1,MS-PS1-6,conceptual,Why does a chemical cold pack stop feeling cold after a while even if you don't open it?,"Once the reactants inside are fully used up, the endothermic reaction stops absorbing thermal energy. The pack then slowly warms back up to room temperature through heat transfer from the surroundings.",claude-4.6-sonnet-thinking,7.16
MS-PS1-029,MS-PS1,MS-PS1-1,applied,"When you drink water, you're consuming H₂O molecules. If you could look at a single water molecule, how many total atoms would you see and what kinds are they?",You would see 3 atoms total: 2 hydrogen atoms and 1 oxygen atom. The chemical formula H₂O tells you exactly how many of each type of atom make up one water molecule.,claude-4.6-sonnet-thinking,6.75
MS-PS1-030,MS-PS1,MS-PS1-1,applied,"A student is drawing a model of carbon dioxide, the gas you breathe out. How many atoms should she draw in one molecule, and what elements do they come from?",She should draw 3 atoms total: 1 carbon atom and 2 oxygen atoms. The formula CO₂ shows one carbon bonded to two oxygen atoms.,claude-4.6-sonnet-thinking,6.78
MS-PS1-031,MS-PS1,MS-PS1-1,applied,"A classmate says that diamond and graphite are both made of only carbon atoms, but they look and feel completely different. How can two materials made of the same atom be so different?","Even though both are made entirely of carbon atoms, the atoms are arranged in different extended structures. In diamond the atoms form a rigid 3D network, while in graphite they form flat layers, giving each material different properties.",claude-4.6-sonnet-thinking,8.37
MS-PS1-032,MS-PS1,MS-PS1-1,applied,"You breathe in oxygen gas (O₂) from the air. If you modeled one molecule of oxygen, how is it different in structure from a single oxygen atom?","One O₂ molecule consists of two oxygen atoms bonded together, whereas a single oxygen atom stands alone. The subscript 2 in O₂ tells you that two atoms are joined to form that molecule.",claude-4.6-sonnet-thinking,7.59
MS-PS1-033,MS-PS1,MS-PS1-2,applied,"If you mix iron filings and sulfur powder together, you can still see both yellow and gray particles and separate them with a magnet. But if you heat the mixture, it turns into a single dark solid that a magnet no longer attracts. What does this tell you?","Heating caused a chemical reaction that produced a new substance, iron sulfide, with different properties than either iron or sulfur. The loss of magnetic attraction and the uniform dark color are evidence that a new substance was formed.",claude-4.6-sonnet-thinking,7.12
MS-PS1-034,MS-PS1,MS-PS1-3,applied,You need to patch a bicycle tire using a synthetic rubber patch. What natural resource was the synthetic rubber most likely made from?,Synthetic rubber is made from petroleum products. Chemicals derived from crude oil are processed and polymerized to create synthetic rubber that mimics the properties of natural rubber.,claude-4.6-sonnet-thinking,7.88
MS-PS1-035,MS-PS1,MS-PS1-3,applied,"Your school buys desks made of synthetic plastic instead of wood. What natural resource is saved by using plastic desks, and what natural resource is used up instead?","Using plastic desks reduces the need to cut down trees, preserving forest resources. However, plastic desks use petroleum, a nonrenewable fossil fuel, as the raw material instead.",claude-4.6-sonnet-thinking,7.15
MS-PS1-036,MS-PS1,MS-PS1-3,applied,"If a town's only drinking water pipe is made of PVC plastic and it cracks, they must replace it with a new PVC pipe. What natural resource must be extracted to produce the new PVC pipe?",PVC (polyvinyl chloride) is made primarily from petroleum and salt (sodium chloride). Petroleum must be extracted and chemically processed to produce the vinyl chloride monomers that are used to manufacture the new PVC pipe.,claude-4.6-sonnet-thinking,6.84
MS-PS1-037,MS-PS1,MS-PS1-4,applied,"If you leave an ice cube on the kitchen counter on a warm day, what happens to the particles in the ice as it melts?","The particles in the ice gain thermal energy from the warmer surroundings, which causes them to vibrate faster and eventually break free from their fixed positions, changing the ice from a solid to liquid water.",claude-4.6-sonnet-thinking,8.32
MS-PS1-038,MS-PS1,MS-PS1-4,applied,"When you boil water on a stove, what happens to the water molecules just before the water turns to steam?","As the water heats up, the molecules move faster and faster until they have enough energy to escape the liquid and become water vapor (steam), changing state from liquid to gas.",claude-4.6-sonnet-thinking,8.14
MS-PS1-039,MS-PS1,MS-PS1-4,applied,"When you put a liquid candle in the freezer, it hardens into a solid. What is happening to the particles inside?","Removing thermal energy causes the particles in the liquid wax to slow down and lose enough energy to lock into fixed positions, causing the wax to solidify.",claude-4.6-sonnet-thinking,6.49
MS-PS1-040,MS-PS1,MS-PS1-5,applied,"When a piece of wood burns in a fireplace, the ash left behind weighs much less than the original log. Does this mean mass was destroyed in the reaction?","No, mass was not destroyed. The 'missing' mass left as gases — mainly carbon dioxide and water vapor — that floated into the air. If you could collect all the ash and all the gases produced, the total mass would equal the mass of the original log plus the oxygen used from the air.",claude-4.6-sonnet-thinking,5.53
MS-PS1-041,MS-PS1,MS-PS1-5,applied,"If you leave a steel nail outside and it rusts completely, would the rusty nail weigh more or less than the original nail?","The rusty nail would weigh more, because iron atoms from the nail combined with oxygen atoms from the air to form iron oxide (rust). The nail gained mass by adding oxygen atoms to its structure.",claude-4.6-sonnet-thinking,8.77
MS-PS1-042,MS-PS1,MS-PS1-5,applied,Imagine you burn a candle completely inside a sealed glass jar. Would the total mass inside the jar change after the candle is gone?,"No, the total mass inside the sealed jar stays the same. The wax atoms don't disappear — they combine with oxygen already inside the jar to form carbon dioxide and water vapor, so all the atoms are still present inside the jar.",claude-4.6-sonnet-thinking,5.81
MS-PS1-043,MS-PS1,MS-PS1-5,applied,"Scientists combine 2 grams of hydrogen gas with 16 grams of oxygen gas, and they react to form water. How many grams of water should be produced?","Exactly 18 grams of water should be produced. Because mass is conserved in a chemical reaction, the total mass of the products must equal the total mass of the reactants (2 g + 16 g = 18 g).",claude-4.6-sonnet-thinking,6.72
MS-PS1-044,MS-PS1,MS-PS1-6,applied,"If you pour water onto calcium chloride (a road salt) and the mixture gets warm, could this reaction be used in a self-heating food package? Why or why not?","Yes, because the reaction between calcium chloride and water is exothermic, meaning it releases thermal energy that could heat food in a sealed package without needing a stove or flame.",claude-4.6-sonnet-thinking,6.34
MS-PS1-045,MS-PS1,MS-PS1-6,applied,"If a hand warmer and an instant cold pack both use chemical reactions, why does one get hot and the other get cold?","The hand warmer uses an exothermic reaction that releases thermal energy, while the cold pack uses an endothermic reaction that absorbs thermal energy from its surroundings.",claude-4.6-sonnet-thinking,8.77
MS-PS1-046,MS-PS1,MS-PS1-6,applied,"A hiker uses a chemical heat pack to warm up food on a cold camping trip, but the pack stops producing heat before the food is fully warm. What does this suggest happened to the chemicals inside?","The reactants inside the pack were completely used up, meaning the exothermic chemical reaction finished and there were no more chemicals left to react and release thermal energy.",claude-4.6-sonnet-thinking,7.89
MS-PS2-001,MS-PS2,MS-PS2-1,recall,"In Newton's Third Law, what is meant by an 'action-reaction pair'?",An action-reaction pair is the set of two forces that act between two objects — the force one object exerts on the other (action) and the force the second object exerts back on the first (reaction). These two forces are always equal in size and opposite in direction.,claude-4.6-sonnet-thinking,5.86
MS-PS2-002,MS-PS2,MS-PS2-1,recall,"If a soccer ball exerts a force on a player's foot during a kick, what force does the player's foot exert on the ball?",The player's foot exerts an equal force on the ball in the opposite direction. This is the reaction force described by Newton's Third Law.,claude-4.6-sonnet-thinking,8.52
MS-PS2-003,MS-PS2,MS-PS2-1,recall,What is momentum?,Momentum is a property of a moving object calculated by multiplying its mass by its velocity (momentum = mass × velocity). It describes how hard it is to stop a moving object.,claude-4.6-sonnet-thinking,5.25
MS-PS2-004,MS-PS2,MS-PS2-2,recall,What is inertia?,Inertia is the tendency of an object to resist any change in its motion. An object at rest stays at rest and an object in motion stays in motion unless acted on by a net force.,claude-4.6-sonnet-thinking,5.25
MS-PS2-005,MS-PS2,MS-PS2-2,recall,What are unbalanced forces?,"Unbalanced forces occur when the forces acting on an object do not cancel out, producing a net force greater than zero that causes the object to change its motion.",claude-4.6-sonnet-thinking,6.62
MS-PS2-006,MS-PS2,MS-PS2-2,recall,"If two forces act on an object in opposite directions, how do you find the net force?",You subtract the smaller force from the larger force. The net force acts in the direction of the larger force.,claude-4.6-sonnet-thinking,7.0
MS-PS2-007,MS-PS2,MS-PS2-2,recall,What happens to the acceleration of an object if its mass increases but the net force stays the same?,"The acceleration decreases. According to Newton's Second Law (a = F/m), a greater mass means less acceleration when force remains constant.",claude-4.6-sonnet-thinking,8.59
MS-PS2-008,MS-PS2,MS-PS2-3,recall,What happens to the electric force between two charged objects as they get farther apart?,The electric force gets weaker as the distance between two charged objects increases.,claude-4.6-sonnet-thinking,7.57
MS-PS2-009,MS-PS2,MS-PS2-3,recall,How does the strength of a magnetic force change as two magnets are moved closer together?,The magnetic force gets stronger as two magnets are moved closer together.,claude-4.6-sonnet-thinking,6.88
MS-PS2-010,MS-PS2,MS-PS2-4,recall,Do objects have to be touching for gravity to act between them?,"No, gravity acts over a distance without the objects touching, making it a non-contact force.",claude-4.6-sonnet-thinking,5.81
MS-PS2-011,MS-PS2,MS-PS2-4,recall,What is the name of the property of an object that determines how strongly gravity pulls on it?,Mass is the property that determines how strongly gravity pulls on an object. Greater mass means a stronger gravitational pull.,claude-4.6-sonnet-thinking,8.47
MS-PS2-012,MS-PS2,MS-PS2-4,recall,What unit is used to measure the weight (gravitational force) of an object?,"Weight is measured in newtons (N), which is the standard unit of force.",claude-4.6-sonnet-thinking,7.63
MS-PS2-013,MS-PS2,MS-PS2-5,recall,What is a gravitational field?,"A gravitational field is the region around any object with mass where it exerts a gravitational pull on other objects with mass, even at a distance.",claude-4.6-sonnet-thinking,7.6
MS-PS2-014,MS-PS2,MS-PS2-5,recall,What happens to the strength of a magnetic field as you move farther away from a magnet?,The strength of a magnetic field decreases as you move farther away from the magnet.,claude-4.6-sonnet-thinking,7.0
MS-PS2-015,MS-PS2,MS-PS2-1,conceptual,Why do two objects that crash into each other always push on each other with the same amount of force?,"Newton's Third Law states that forces always come in equal and opposite pairs. When object A pushes on object B, object B automatically pushes back on object A with the same size force but in the opposite direction.",claude-4.6-sonnet-thinking,7.55
MS-PS2-016,MS-PS2,MS-PS2-1,conceptual,Why does a small car experience more damage than a large truck when they collide head-on with equal forces?,"Both vehicles experience equal and opposite forces during the collision, but the smaller car has less mass, so the same force causes it to accelerate (change motion) much more dramatically, resulting in greater damage.",claude-4.6-sonnet-thinking,8.59
MS-PS2-017,MS-PS2,MS-PS2-1,conceptual,How does a rocket engine move a spacecraft forward even in empty space with nothing to push against?,"The rocket engine pushes exhaust gases out the back at high speed, and by Newton's Third Law, those gases push the rocket forward with an equal and opposite force. The rocket doesn't need anything external to push against.",claude-4.6-sonnet-thinking,8.47
MS-PS2-018,MS-PS2,MS-PS2-1,conceptual,Why does a cannon roll backward when it fires a cannonball forward?,"As the cannon pushes the cannonball forward with a large force, the cannonball pushes back on the cannon with an equal force in the opposite direction. This backward reaction force causes the cannon to recoil.",claude-4.6-sonnet-thinking,6.79
MS-PS2-019,MS-PS2,MS-PS2-1,conceptual,How does Newton's Third Law explain why a swimmer can push off the pool wall to move through the water?,"The swimmer pushes backward against the wall with their feet, and the wall pushes the swimmer forward with an equal and opposite reaction force. That reaction force is what accelerates the swimmer away from the wall.",claude-4.6-sonnet-thinking,6.37
MS-PS2-020,MS-PS2,MS-PS2-1,conceptual,Why does the pain you feel when you kick a hard rock depend on the force your foot applies to it?,"By Newton's Third Law, the rock pushes back on your foot with a force equal to the force your foot exerted on the rock. The harder you kick, the greater the reaction force the rock exerts on your foot, causing more pain.",claude-4.6-sonnet-thinking,5.52
MS-PS2-021,MS-PS2,MS-PS2-2,conceptual,Why does a heavier shopping cart take more force to push than a lighter one to reach the same speed?,"A heavier cart has more mass, so a greater net force is needed to produce the same change in motion. More mass means more resistance to changes in motion (inertia).",claude-4.6-sonnet-thinking,6.37
MS-PS2-022,MS-PS2,MS-PS2-2,conceptual,Why does a small car accelerate faster than a large truck when both engines push with the same force?,"The small car has less mass, so the same net force produces a greater acceleration. Since acceleration depends on force divided by mass, less mass means more acceleration.",claude-4.6-sonnet-thinking,6.73
MS-PS2-023,MS-PS2,MS-PS2-2,conceptual,Why doesn't an object move if you push on it but someone else pushes back with equal force?,"When two equal forces act in opposite directions on an object, they cancel out and the net force is zero. With no net force, there is no change in the object's motion.",claude-4.6-sonnet-thinking,6.51
MS-PS2-024,MS-PS2,MS-PS2-2,conceptual,How does the net force on an object determine the direction it will accelerate?,"An object accelerates in the same direction as the net (total) force acting on it. If forces from multiple directions are added together, the object moves in the direction of the combined result.",claude-4.6-sonnet-thinking,8.41
MS-PS2-025,MS-PS2,MS-PS2-2,conceptual,Why is it harder to stop a bowling ball rolling toward you than a tennis ball rolling at the same speed?,"The bowling ball has much more mass, so a greater force is needed to change its motion and bring it to a stop. More mass means the object resists changes in motion more strongly.",claude-4.6-sonnet-thinking,7.77
MS-PS2-026,MS-PS2,MS-PS2-2,conceptual,Why does a feather fall more slowly than a rock even though gravity pulls both downward?,"Air resistance pushes upward on both objects, but it has a much bigger effect on the feather because of its shape and low mass. This reduces the net downward force on the feather, causing it to accelerate more slowly.",claude-4.6-sonnet-thinking,6.88
MS-PS2-027,MS-PS2,MS-PS2-2,conceptual,How does increasing the mass of an object affect its acceleration if the net force stays the same?,Increasing the mass decreases the acceleration because the same net force is now spread over more mass. The object responds less to the same push or pull.,claude-4.6-sonnet-thinking,8.47
MS-PS2-028,MS-PS2,MS-PS2-3,conceptual,Why does a magnet lose its pulling power on a paper clip as you move it farther away?,"Magnetic force gets weaker as distance increases. The farther apart the magnet and the paper clip are, the less the magnetic field acts on the clip, so the pulling force decreases.",claude-4.6-sonnet-thinking,7.16
MS-PS2-029,MS-PS2,MS-PS2-3,conceptual,Why does a stronger magnet pick up more paper clips than a weaker one?,"A stronger magnet produces a more powerful magnetic field, which exerts a greater force on nearby magnetic objects. More force means it can lift more weight.",claude-4.6-sonnet-thinking,5.04
MS-PS2-030,MS-PS2,MS-PS2-3,conceptual,Why can a charged comb pick up tiny pieces of paper even without touching them?,A charged object creates an electric field around it that can attract neutral or oppositely charged objects nearby. The electric force acts across the small gap between the comb and the paper pieces.,claude-4.6-sonnet-thinking,6.78
MS-PS2-031,MS-PS2,MS-PS2-3,conceptual,Why does a charged balloon stick to a wall more strongly right after you rub it compared to an hour later?,"Over time, the extra charges on the balloon slowly transfer to the air or the wall, reducing the balloon's charge. Less charge means a weaker electric force, so the attraction to the wall decreases.",claude-4.6-sonnet-thinking,7.77
MS-PS2-032,MS-PS2,MS-PS2-3,conceptual,Why is it harder for a magnet to attract a piece of iron through a thick book than through a thin sheet of paper?,"As the distance between the magnet and the iron increases, the magnetic force weakens. A thicker book increases that effective distance more than a thin sheet, reducing the force significantly.",claude-4.6-sonnet-thinking,8.03
MS-PS2-033,MS-PS2,MS-PS2-3,conceptual,Why does putting two magnets together with the same poles facing each other make them push apart so hard?,"Like magnetic poles repel each other, and the force between them grows stronger as the poles get closer together. Pressing them close increases the repulsive magnetic force acting between them.",claude-4.6-sonnet-thinking,7.97
MS-PS2-034,MS-PS2,MS-PS2-3,conceptual,Why does an electromagnet stop working when you turn off the electric current?,"The magnetic field around an electromagnet is produced by moving electric charges. When the current stops, there are no more moving charges, so the magnetic field disappears and the force on nearby objects drops to zero.",claude-4.6-sonnet-thinking,8.54
MS-PS2-035,MS-PS2,MS-PS2-4,conceptual,Why does a more massive planet pull you toward it more strongly than a less massive planet would?,"The strength of gravitational attraction depends on the masses of the objects involved. A more massive planet has a stronger gravitational pull, so it attracts objects with greater force.",claude-4.6-sonnet-thinking,7.16
MS-PS2-036,MS-PS2,MS-PS2-4,conceptual,"Why do larger, more massive stars pull nearby objects more strongly than smaller stars do?",Gravitational force increases as the masses of the interacting objects increase. A more massive star exerts a greater attractive gravitational force on nearby objects than a less massive star would.,claude-4.6-sonnet-thinking,6.78
MS-PS2-037,MS-PS2,MS-PS2-4,conceptual,How does gravity cause a ball thrown into the air to eventually come back down?,"Earth's gravity continuously exerts an attractive force pulling the ball toward Earth's center. Even while the ball moves upward, this downward gravitational pull slows it and eventually brings it back down.",claude-4.6-sonnet-thinking,7.57
MS-PS2-038,MS-PS2,MS-PS2-4,conceptual,"Why do all objects, regardless of their mass, fall toward Earth due to gravity?","Gravity attracts all objects with mass toward Earth. While heavier objects experience a greater gravitational force, they also have more mass to accelerate, so all objects fall at the same rate in the absence of air resistance.",claude-4.6-sonnet-thinking,6.73
MS-PS2-039,MS-PS2,MS-PS2-5,conceptual,Why can a magnet push or pull another magnet even when they are not touching?,"A magnet creates a magnetic field in the space around it. When another magnet enters that field, the field exerts a force on it, allowing the push or pull to happen without any physical contact.",claude-4.6-sonnet-thinking,6.78
MS-PS2-040,MS-PS2,MS-PS2-5,conceptual,How does gravity pull you toward Earth even though nothing physical connects you to the ground?,"Earth has a gravitational field that extends through space around it. This field exerts a pulling force on any object with mass that is within the field, even without direct contact.",claude-4.6-sonnet-thinking,8.35
MS-PS2-041,MS-PS2,MS-PS2-5,conceptual,Why does a compass needle point north even when it is not touching anything magnetic?,"Earth's magnetic field extends through space and reaches the compass. The needle is a small magnet, so Earth's magnetic field exerts a force on it, rotating it to align with the field's direction.",claude-4.6-sonnet-thinking,8.35
MS-PS2-042,MS-PS2,MS-PS2-5,conceptual,Why do two positively charged balloons push each other away even when they are not touching?,"Each charged balloon creates an electric field in the surrounding space. When the two fields interact, like charges repel each other, creating a pushing force across the gap between them.",claude-4.6-sonnet-thinking,8.35
MS-PS2-043,MS-PS2,MS-PS2-5,conceptual,How can you tell that a magnetic field exists even though you cannot see it?,"You can observe the effects of the field, such as iron filings arranging into patterns around a magnet or a compass needle deflecting. These observable effects provide evidence that the field is present even though it is invisible.",claude-4.6-sonnet-thinking,5.99
MS-PS2-044,MS-PS2,MS-PS2-1,applied,"Two shopping carts collide in a grocery store parking lot. If cart A pushes on cart B with 20 newtons of force, how much force does cart B push back on cart A?",Cart B pushes back on cart A with exactly 20 newtons of force in the opposite direction. Newton's Third Law says the forces in a collision are always equal in size and opposite in direction.,claude-4.6-sonnet-thinking,5.15
MS-PS2-045,MS-PS2,MS-PS2-1,applied,A small car and a large truck collide head-on. Which vehicle experiences the greater force from the crash?,"Both vehicles experience the exact same amount of force, just in opposite directions. Even though the truck is bigger, Newton's Third Law means the force the car exerts on the truck equals the force the truck exerts on the car.",claude-4.6-sonnet-thinking,5.62
MS-PS2-046,MS-PS2,MS-PS2-1,applied,"Two ice skaters push off each other and glide in opposite directions. If skater A is much heavier than skater B, will they feel different forces during the push?","No, they feel the same size force during the push — just in opposite directions. However, because skater B is lighter, that equal force causes skater B to accelerate more and move away faster than the heavier skater A.",claude-4.6-sonnet-thinking,7.56
MS-PS2-047,MS-PS2,MS-PS2-1,applied,"Two students on skateboards roll toward each other and collide. After the collision, one student is pushed backward. What happens to the other student?","The other student is also pushed backward, in the opposite direction. During the collision, each student exerts an equal and opposite force on the other, so both are pushed away from the point of impact.",claude-4.6-sonnet-thinking,5.72
MS-PS2-048,MS-PS2,MS-PS2-1,applied,"In a game of pool, a cue ball rolls and smashes directly into a stationary ball. Using Newton's Third Law, what happens to the cue ball right at the moment of impact?","At the moment of impact, the stationary ball pushes back on the cue ball with an equal and opposite force. This reaction force slows the cue ball down, and in a direct hit the cue ball can nearly stop while the stationary ball rolls forward.",claude-4.6-sonnet-thinking,6.88
MS-PS2-049,MS-PS2,MS-PS2-2,applied,"If you push a shopping cart that is full of groceries and one that is empty with the same force, which one speeds up faster?","The empty cart speeds up faster because it has less mass. With the same force applied, a smaller mass results in a greater acceleration.",claude-4.6-sonnet-thinking,8.32
MS-PS2-050,MS-PS2,MS-PS2-2,applied,A small child and a large adult sit on identical playground swings and someone gives each swing one identical push. Who swings with greater acceleration?,The small child swings with greater acceleration because the child has less mass. The same force applied to a smaller mass produces a larger acceleration.,claude-4.6-sonnet-thinking,7.69
MS-PS2-051,MS-PS2,MS-PS2-2,applied,You are pushing a box across the floor and suddenly push twice as hard. What happens to the box's acceleration?,The box's acceleration doubles because acceleration is directly proportional to net force when mass stays the same.,claude-4.6-sonnet-thinking,5.42
MS-PS2-052,MS-PS2,MS-PS2-2,applied,A skateboarder coasts along a flat sidewalk and gradually slows to a stop even without braking. What forces are acting on the skateboarder to change their motion?,"Friction between the wheels and the ground, and air resistance, are acting against the skateboarder's motion. These forces create a net backward force that decelerates the skateboarder until they stop.",claude-4.6-sonnet-thinking,8.03
MS-PS2-053,MS-PS2,MS-PS2-3,applied,"If you move two magnets farther apart, what happens to the force between them?","The magnetic force gets weaker. The farther apart two magnets are, the less strongly they attract or repel each other.",claude-4.6-sonnet-thinking,5.88
MS-PS2-054,MS-PS2,MS-PS2-3,applied,"A refrigerator magnet barely holds up one sheet of paper. If you stack ten sheets of paper between the magnet and the fridge, will it still hold?","The magnet will likely fall off because increasing the distance between the magnet and the fridge weakens the magnetic force, making it too weak to support the paper.",claude-4.6-sonnet-thinking,5.85
MS-PS2-055,MS-PS2,MS-PS2-3,applied,"Two bar magnets are attracting each other. If you replace one bar magnet with a much stronger magnet, what happens to the force between them?","The force between them increases. Using a stronger magnet means a stronger magnetic field, which creates a greater attractive force.",claude-4.6-sonnet-thinking,5.8
